Day,Meal,Foods,Calories,Protein (g),Carbs (g),Fat (g)
14,Dinner,2 bowls of 2 chapati with Paneer Bhurji (Low Fat),114,7.3,3.8,7.6
15,Breakfast,½ bowl of brown rice with matki sambar,115,3.5,27.2,4.1
15,Lunch,1 paratha of Tamarind Rice (Low Oil),146,3.4,27.4,2.2
15,Snack,Tulsi infused ½ bowl of semiya upma,147,7.6,18.9,3.0
15,Dinner,½ bowl of Oats Upma,123,5.0,21.3,3.0
16,Breakfast,Neem infused 2 bowls of 2 Steamed Dhokla,139,5.1,22.4,3.9
16,Lunch,2 bowls of 2 roti with Vegetable Kurma,130,8.5,17.5,0.5
16,Snack,Neem infused 1 cup of rice and sambar,134,5.0,18.8,4.9
16,Dinner,2 idlis of 2 chapati with Paneer Bhurji (Low Fat),103,9.7,4.3,6.9
17,Breakfast,2 idlis of brown rice with matki sambar,126,5.5,19.5,5.1
17,Lunch,½ bowl of 2 palak paratha with chutney,129,10.6,22.9,0.9
17,Snack,Giloy infused small plate of brown rice with matki sambar,128,2.4,30.9,4.1
17,Dinner,½ bowl of Oats Upma,124,6.4,26.4,4.6
18,Breakfast,1 handful of Oats Upma,153,4.1,26.6,3.4
18,Lunch,Methi Seeds infused 2 bowls of 2 palak paratha with chutney,123,11.0,18.5,0.6
18,Snack,Tulsi infused 1 paratha of Oats Upma,157,3.6,23.7,3.4
18,Dinner,½ bowl of 2 chapati with Paneer Bhurji (Low Fat),122,7.4,3.2,8.8
19,Breakfast,Methi Seeds infused 2 bowls of semiya upma,105,8.0,19.2,3.4
19,Lunch,1 paratha of 2 palak paratha with chutney,99,7.2,24.5,0.8
19,Snack,Tulsi infused 2 idlis of brown rice with sambar,148,3.7,23.2,3.9
19,Dinner,2 idlis of rice Green Gram Curry,107,7.9,17.1,0.6
20,Breakfast,Amla infused small plate of 2 chapati with Paneer Bhurji (Low Fat),109,12.2,2.9,8.4
20,Lunch,Amla infused 2 idlis of 4 Khaman Dhokla,126,6.2,15.6,5.5
20,Snack,small plate of Low-Fat Vegetable Pulao,158,4.6,26.4,3.2
20,Dinner,2 idlis of Oats Upma,144,5.4,20.8,2.8
21,Breakfast,Methi Seeds infused 2 bowls of semiya upma,105,8.0,19.2,3.4
21,Lunch,1 handful of 2 roti and capsicum sabji with salad,133,8.6,23.6,0.7
21,Snack,1 paratha of rice and sambar,148,6.0,20.0,4.6
21,Dinner,½ bowl of semiya upma,147,6.6,18.7,2.3
22,Breakfast,1 cup of Low-Fat Vegetable Pulao,178,3.8,22.2,3.2
22,Lunch,2 idlis of 2 roti and capsicum sabji with salad,125,8.6,16.9,1.0
22,Snack,small plate of 2 Steamed Dhokla,151,3.6,21.2,5.6
22,Dinner,½ bowl of brown rice with matki sambar,140,2.9,24.8,3.6
23,Breakfast,1 paratha of brown rice with matki sambar,125,4.6,16.2,5.7
23,Lunch,1 handful of Low-Fat Vegetable Pulao,141,3.1,31.3,3.7
23,Snack,Tulsi infused ½ bowl of brown rice with sambar,155,3.6,20.1,4.0
23,Dinner,Methi Seeds infused 1 cup of 2 dosa with coconut chutney,109,7.2,21.8,1.1
24,Breakfast,1 paratha of Oats Upma,115,5.2,19.7,3.9
24,Lunch,Tulsi infused ½ bowl of 2 roti with Vegetable Kurma,136,9.6,21.7,0.5
24,Snack,2 bowls of 2 palak paratha with chutney,137,11.7,21.1,1.0
24,Dinner,2 idlis of 2 chapati with Paneer Bhurji (Low Fat),103,9.7,4.3,6.9
25,Breakfast,Neem infused ½ bowl of 4 Khaman Dhokla,156,3.9,16.3,4.9
25,Lunch,1 bowl of Low-Fat Vegetable Pulao,150,4.0,26.0,3.0
25,Snack,1 cup of Oats Upma,127,5.3,15.6,4.8
25,Dinner,2 bowls of brown rice with sambar,148,2.7,28.4,4.1
26,Breakfast,1 cup of brown rice with sambar,154,3.3,27.5,4.5
26,Lunch,2 idlis of 4 Khaman Dhokla,131,6.0,13.4,5.5
26,Snack,Brahmi infused 2 idlis of 4 Khaman Dhokla,148,5.8,18.3,5.8
26,Dinner,Ashwagandha infused 1 handful of 2 chapati with Paneer Bhurji (Low Fat),106,9.2,2.5,5.4
27,Breakfast,small plate of Oats Upma,151,6.3,23.3,5.1
27,Lunch,Tulsi infused 1 cup of rice and sambar,161,4.6,20.6,5.4
27,Snack,2 idlis of 2 chapati with Paneer Bhurji (Low Fat),116,9.4,3.7,7.9
27,Dinner,1 handful of rice and sambar,169,4.6,22.2,4.2
28,Breakfast,Tulsi infused 2 bowls of Oats Upma,128,6.0,26.0,4.8
28,Lunch,½ bowl of 2 palak paratha with chutney,95,11.1,18.6,0.8
28,Snack,Brahmi infused 1 cup of 2 roti with Vegetable Kurma,119,8.0,28.8,0.5
28,Dinner,2 idlis of 4 Khaman Dhokla,128,5.8,19.5,4.5
29,Breakfast,small plate of 2 chapati with Paneer Bhurji (Low Fat),117,8.3,4.1,7.0
29,Lunch,1 paratha of brown rice with matki sambar,148,3.4,30.3,4.2
29,Snack,Brahmi infused 2 idlis of 4 Khaman Dhokla,148,5.8,18.3,5.8
29,Dinner,Methi Seeds infused 2 idlis of 2 chapati with Paneer Bhurji (Low Fat),128,11.3,3.8,7.3
30,Breakfast,2 idlis of 4 Khaman Dhokla,150,4.1,20.9,4.4
30,Lunch,1 paratha of 2 chapati with Paneer Bhurji (Low Fat),143,8.8,4.3,6.4
30,Snack,Giloy infused 1 paratha of 4 Khaman Dhokla,129,4.4,20.5,5.0
30,Dinner,½ bowl of semiya upma,128,7.9,23.0,2.8
